# Downloaded from https://figshare.com/articles/dataset/OKCupid_Datasets/14987388
d_age,d_gender,q36355,q45632,q49093,q45835,q12584
46,Woman,No.,No.,Utterly wrong.,Sun,Yes
39,Woman,No.,No.,OK sometimes.,Sun,Yes
28,Man,No.,No.,OK sometimes.,Cloudy,Yes
33,Woman,No.,No.,OK sometimes.,Sun,Yes
34,Man,No.,No.,Utterly wrong.,Cloudy,Yes
26,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
35,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
46,Man,No.,No.,Utterly wrong.,Cloudy,Yes
31,Man,Yes.,No.,Utterly wrong.,Rain,Yes
35,Man,No.,No.,OK sometimes.,Sun,Yes
31,Man,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
32,Man,No.,Yes.,Not a subject I have an opinion on.,Sun,Yes
39,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
29,Man,No.,No.,Not a subject I have an opinion on.,Snow,No
24,Woman,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
45,Woman,No.,Yes.,Utterly wrong.,Sun,Yes
29,Man,No.,No.,Utterly wrong.,Sun,Yes
54,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Man,No.,No.,Utterly wrong.,Rain,Yes
29,Man,No.,No.,Not a subject I have an opinion on.,Rain,No
26,Woman,No.,No.,OK sometimes.,Cloudy,Yes
28,Man,No.,Yes.,Not a subject I have an opinion on.,Sun,Yes
31,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
27,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
28,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
25,Man,No.,No.,OK sometimes.,Rain,No
37,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
36,Woman,No.,No.,Not a subject I have an opinion on.,Rain,Yes
33,Woman,No.,Yes.,Utterly wrong.,Sun,Yes
32,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Sun,Yes
37,Man,Yes.,No.,Utterly wrong.,Sun,Yes
30,Man,No.,No.,Utterly wrong.,Rain,Yes
38,Man,No.,No.,Utterly wrong.,Sun,Yes
31,Man,Yes.,No.,Utterly wrong.,Cloudy,Yes
31,Man,No.,No.,Utterly wrong.,Cloudy,No
35,Man,No.,No.,Perfectly fine.,Sun,Yes
36,Man,No.,No.,Utterly wrong.,Sun,Yes
39,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
46,Man,No.,No.,Utterly wrong.,Sun,Yes
37,Man,No.,No.,Utterly wrong.,Sun,Yes
37,Woman,No.,Yes.,Utterly wrong.,Cloudy,Yes
36,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
29,Man,No.,Yes.,Not a subject I have an opinion on.,Sun,Yes
36,Woman,No.,No.,Utterly wrong.,Snow,No
28,Man,No.,No.,Utterly wrong.,Snow,No
39,Man,No.,No.,Utterly wrong.,Sun,Yes
24,Man,No.,Yes.,OK sometimes.,Sun,No
28,Woman,No.,No.,OK sometimes.,Rain,Yes
27,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
29,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,No.,Utterly wrong.,Sun,Yes
44,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
51,Man,No.,Yes.,Utterly wrong.,Sun,Yes
47,Man,No.,No.,Utterly wrong.,Cloudy,Yes
